_Id,_PostId,_Score,_Text,_CreationDate,_UserId,_UserDisplayName
1,3,5,"Could be a poster child fo argumentative and subjective.  At the least, need to define 'valuable'.",2010-07-19T19:15:52.517,13,
2,5,0,"Yes, R is nice- but WHY is it 'valuable'.",2010-07-19T19:16:14.980,13,
3,9,0,"Again- why?  How would I convince my boss to use this over, say, Excel.",2010-07-19T19:18:54.617,13,
4,5,11,"It's mature, well supported, and a standard within certain scientific communities (popular in our AI department, for example)",2010-07-19T19:19:56.657,37,
5,3,1,"Define ""valuable""...",2010-07-19T19:20:28.013,5,
6,14,9,"why ask the question here?  All are community-wiki, why not just fix the canonical answer?",2010-07-19T19:22:27.947,23,
7,18,1,also the US census data http://www.census.gov/main/www/access.html,2010-07-19T19:25:47.877,36,
9,16,0,Andrew Gelman has a nice R library that links Bugs to R.,2010-07-19T19:30:24.590,78,
10,23,7,I am not sure I understand the difficulty. If the functional form is known just take the derivative otherwise take differences. Am I missing something here?,2010-07-19T19:31:18.657,,user28
11,43,5,"There are many R GUI's available for Windows, so I'm not following your point.",2010-07-19T19:34:20.383,5,
12,38,0,"That's just an example - it might have a median that is much smaller, on the order of 200 (it depends on how I partition the data). That would preclude using a normal distribution, right?",2010-07-19T19:37:33.823,54,
13,20,2,What levels of kurtosis and skewdness are acceptable to meet the assumption of normality?,2010-07-19T19:38:01.450,24,
14,46,6,this is an incredibly unclear response. Please try to write in English.,2010-07-19T19:38:30.340,74,
15,3,2,"Maybe the focus shouldn't be on ""valuable"" but rather ""pros"" and ""cons"" of each project?",2010-07-19T19:44:47.753,24,
16,8,2,Probably better asked on meta.  People feel like they have to downvote it because it is an off-topic question.  But then the downvotes make it look like staticians have no sense of humor :(,2010-07-19T19:46:19.480,13,
18,36,14,http://xkcd.com/552/,2010-07-19T19:48:32.580,68,
19,8,0,"@Jason Punyon in particular gets a humorless downvote for removing my ""verboten"" tag! ;-)",2010-07-19T19:50:40.047,6,
20,54,4,"I am not sure if characterizing one or the other as the 'wrong' formula is the way to understand the issue. It is just that the second one is 'better' in in the sense that it is an unbiased estimator of the true standard deviation. So, if you care about unbiased estimates then the second one is 'better'/'correct'.",2010-07-19T19:51:06.567,,user28
21,77,1,I like the first example you give. That will certainly get the students talking ;),2010-07-19T19:56:18.490,8,
22,56,9,I like the analogy. I would find it very useful if there were a defined question (based on a dataset) in which an answer was derived using frequentist reasoning and an answer was derived using Bayesian - preferably with R script to handle both reasonings. Am I asking too much?,2010-07-19T19:56:21.640,104,
23,57,4,-1 for wikipedia cut and paste,2010-07-19T19:56:28.490,74,
24,73,1,"Very subjective question: this question cannot be answered, and is not suitable for a QA site.",2010-07-19T19:58:20.090,107,
27,77,1,There's an interesting discussion by Steve Steinberg on his blog here: http://blog.steinberg.org/?p=11 about some of the implications of 1 and where it might lead in terms of Weak AI.,2010-07-19T20:01:15.373,55,
28,57,8,"@el chief: On Stackexchange sites, it is allowed to copy and paste answers from other resources. I give the source link along with the answers. It's pointless to give -1 to a right answer. See meta for what is allowed here and what is not; and a big -1 from me to your behavior!",2010-07-19T20:02:25.197,69,
29,79,1,"I wasn't suggesting it was, I was just curious as to why such a difference might have arisen, what sort of level of error following the wrong advice might give and whether there was a decent explanation of the difference I could give to my students.",2010-07-19T20:03:30.203,55,
30,57,4,"Wikipedia cut and paste doesn't bother me when cited, as it is  here [is it compatible with the cc-sa license?]. However, these explanations are complicated for a beginner",2010-07-19T20:03:31.450,87,
31,54,0,"I was characterising the formula as ""wrong"" purely in the sense that in an exam if you use the formula which isn't proscribed by the syllabus you'll end up with the ""wrong"" answer. Plus if the values are not a sample of population per se then surely the first formula gives the more accurate value.",2010-07-19T20:05:22.803,55,
32,73,3,Should probably be community wiki; useful question here but doesn't have definitive answer.,2010-07-19T20:05:57.903,5,
