_Id,_PostId,_VoteTypeId,_CreationDate,_UserId
1,3,2,2010-07-19T00:00:00.000,
2,2,2,2010-07-19T00:00:00.000,
3,5,2,2010-07-19T00:00:00.000,
4,5,2,2010-07-19T00:00:00.000,
5,3,2,2010-07-19T00:00:00.000,
6,4,2,2010-07-19T00:00:00.000,
7,2,2,2010-07-19T00:00:00.000,
10,3,2,2010-07-19T00:00:00.000,
11,5,2,2010-07-19T00:00:00.000,
12,6,2,2010-07-19T00:00:00.000,
13,6,5,2010-07-19T00:00:00.000,58
14,10,2,2010-07-19T00:00:00.000,
15,5,2,2010-07-19T00:00:00.000,
16,2,2,2010-07-19T00:00:00.000,
17,6,2,2010-07-19T00:00:00.000,
19,6,5,2010-07-19T00:00:00.000,6
20,1,2,2010-07-19T00:00:00.000,
21,3,2,2010-07-19T00:00:00.000,
22,5,2,2010-07-19T00:00:00.000,
23,9,2,2010-07-19T00:00:00.000,
24,14,2,2010-07-19T00:00:00.000,
25,16,2,2010-07-19T00:00:00.000,
26,13,2,2010-07-19T00:00:00.000,
27,6,2,2010-07-19T00:00:00.000,
28,17,2,2010-07-19T00:00:00.000,
29,14,3,2010-07-19T00:00:00.000,
30,21,2,2010-07-19T00:00:00.000,
31,1,2,2010-07-19T00:00:00.000,
32,22,2,2010-07-19T00:00:00.000,
33,2,2,2010-07-19T00:00:00.000,
34,5,2,2010-07-19T00:00:00.000,
35,20,2,2010-07-19T00:00:00.000,
36,16,2,2010-07-19T00:00:00.000,
37,1,2,2010-07-19T00:00:00.000,
38,15,2,2010-07-19T00:00:00.000,
39,6,2,2010-07-19T00:00:00.000,
40,5,2,2010-07-19T00:00:00.000,
41,13,2,2010-07-19T00:00:00.000,
42,5,2,2010-07-19T00:00:00.000,
43,4,2,2010-07-19T00:00:00.000,
44,9,2,2010-07-19T00:00:00.000,
45,17,2,2010-07-19T00:00:00.000,
