Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"83064109","48046364","0","Yes, I;ve done that too.  I think I know how to fix it and proceed.  If works, will mark this as answer.  Thanks.","2018-01-01 00:00:06","","8754098"
"83064110","48046356","1","Your numberOfMilliSecondsUntilMidnight have only a resolution of seconds. Also much of your code seems to be unrelated to this particular question.","2018-01-01 00:00:16","","1187415"
"83064111","48046185","0","The result is fine. The graph comes out great haha. 

I am just wondering why the code would not work if  say for example you took out the X[:50, 1] from the first plt.scatter code. I guess I am not understanding here what the plt.scatter is going on here.","2018-01-01 00:00:44","","9116172"
"83064113","48045799","0","why do you convert fetchall into `str()` ? Without this you shouldn't need to strip `[(` and `)]`. It looks like you have to find tutorial and learn how to work with database.","2018-01-01 00:00:59","","1832058"
"83064114","48038560","0","This sounds like above my skill level. Maybe a better approach would be to make multiple pictures of the diamond for the various possibilities, and display the appropriate one based on which bases are occupied.","2018-01-01 00:01:04","","930993"
"83064116","48046178","0","Use `ConvertTo-Csv` and replace 3 consecutive double quotes with a single one?","2018-01-01 00:01:30","","1630171"
"83064117","48046364","0","w3schools article on [json.parse](https://www.w3schools.com/js/js_json_parse.asp) might help","2018-01-01 00:01:45","","953755"
"83064118","48046356","0","The question asks for the *""number of milliseconds until midnight""* – Of course you can compute the number of seconds and multiply that by 1000, but that is not the best possible precision.","2018-01-01 00:01:51","","1187415"
"83064120","48046034","0","My question is, i need to subset all rows in data frame","2018-01-01 00:02:26","","7331417"
"83064122","112025","1","@J.J having never used an array.array in my life, would you mind giving a use case when it is meaningfully better (perhaps I am overusing np.ndarray)?","2018-01-01 00:02:31","","1779853"
"83064124","48046266","0","Could you post a screenshot of your fiddler and what it is showing exactly?","2018-01-01 00:02:35","","1988508"
"83064125","37017192","0","Ill see if i can help you when i come home. Ill just warn you right away that chrome extensions are severely limited in their cross domain content for security reasons.","2018-01-01 00:02:38","","5614602"
"83064127","48046353","0","@KenWhite My intent was to ask if anyone knows if this address is shown publicly on the App Store, not to ask the philosophy behind Apple's policies. I have updated the question accordingly.","2018-01-01 00:02:51","","7332288"
"83064128","43614998","0","@LuckyLikey: How would I be able to add a ViewModel to a window datacontext via XAML which has no parameterless constructor? With the solution from sondergard with the ServiceLocator this situation would be possible.","2018-01-01 00:03:01","","5049599"
"83064129","48046350","0","It allows you to use part of the matched values as a unit, for instance for repetition or replacement. In the particular regex you've posted, it's used (as @WillemVanOnsem said), to capture the individual subparts of the URL.","2018-01-01 00:03:10","","62576"
"83064130","48043488","0","@user89 I used the new OpenGL 4.5 feature of making the topleft corner (-1, -1) like Vulkan instead of the typical (-1, 1) OpenGL has. After doing that everything appeared upside down, but if you multiply second element of the Y component in the projection matrix by -1 everything becomes normal. So in other words performance wise it should be exactly the same.","2018-01-01 00:03:14","","4696802"
"83064131","48046372","0","Please show your code.","2018-01-01 00:03:19","","198536"
"83064132","48044269","0","@Nae alright, I am going to check the code using a different machine. Thanks for your help!","2018-01-01 00:03:21","","8311444"
"83064134","48046175","0","`for (names in paste0(""M"", 1:455)) {do stuff}` or perhaps `do.call(rbind, mget( paste0(""M"", 1:455) ) )`","2018-01-01 00:03:59","","1855677"
"83064136","48046185","0","There is one set of data plotted. Therefore red applies to the one data set.","2018-01-01 00:04:12","","3902974"
"83064137","48046239","0","As I suspected, the problem is that you aren't returning the value for `GetResults()`.  You `return result` just goes back into the `.find()` callback - it does not return from your function.  Read the answer to the question yours has been marked a duplicate of for lots of details on why you aren't getting the return value and what your options are for doing it correctly (either pass in a callback or return a promise).","2018-01-01 00:04:14","","816620"
"83064139","48046103","0","Its for wordpress.com i think i get for my site which download from wordpress.org","2018-01-01 00:04:32","","7495693"
"83064140","48046088","1","While it's not generally necessary or helpful to use promises in the synchronous case, one could still imagine using them for a case where a function can contain optionally asynchronous operations... or even for a synchronous function that one wants to behave as (or be interchangeable with) an asynchronous version.  Further, I don't think the down-voting is warranted- this might be a generally helpful question to people unfamiliar.","2018-01-01 00:04:34","","1306026"
"83064141","48046257","0","The actual problem was inside of `DBhandler.GetResults()`.","2018-01-01 00:04:38","","816620"
"83064143","48040275","0","If you have client side bundling configured for SystemJS, you can create another bundle for the server side by using `--format cjs`. Alternately, you could load your server side application with SystemJS.","2018-01-01 00:04:50","","1915893"
"83064144","48046242","0","@WillemVanOnsem Not sure why you're telling me that. I never disagreed with that.","2018-01-01 00:04:54","","1672429"
"83064145","48046353","0","I commented based on both the title (that you've now changed) as well as the body of your post. If you have questions about app store submissions, contact that app store. This site is for programming related questions, not support for iTunes or the Google App Store.","2018-01-01 00:04:56","","62576"
"83064146","22583146","0","Possible duplicate of [Check if variable is\_undefined in PHP](https://stackoverflow.com/questions/16993027/check-if-variable-is-undefined-in-php)","2018-01-01 00:05:03","","3303195"
"83064151","48043007","2","You aren't understanding my comment.  Inside of your `if (err)` you need to do `rej(err)`.","2018-01-01 00:06:22","","816620"
"83064154","48042615","0","I have to implement some businnes logic in which I have to send more (almost 5k rest requests). Now this is implement using rest.exchange (synchronously) but this is not efficient way so I looking for other way.","2018-01-01 00:06:38","","9143129"
